LocationID,Latitude,Longitude,Elevation_m,SoilType,VegetationDensity,WaterBodies_Proximity_km
LOC1,23.1,77.2,350,Alluvial,0.2,3.5
LOC2,23.150000000000002,77.25,355,Black,0.25,3.2
LOC3,23.200000000000003,77.3,360,Red,0.30000000000000004,2.9
LOC4,23.25,77.35000000000001,365,Laterite,0.35000000000000003,2.6
LOC5,23.3,77.4,370,Mountain,0.4,2.3
LOC6,23.35,77.45,375,Alluvial,0.45,2.0
LOC7,23.400000000000002,77.5,380,Black,0.5,1.7000000000000002
LOC8,23.450000000000003,77.55,385,Red,0.55,1.4
LOC9,23.5,77.60000000000001,390,Laterite,0.6000000000000001,1.1
LOC10,23.55,77.65,395,Mountain,0.65,0.8000000000000003
