Date,Time_Slot,Latitude,Longitude,Temperature_C_Avg,Humidity_Percentage_Avg,Precipitation_mm_Total,WindSpeed_kmph_Avg,Fog_Presence,Storm_Presence
2023-01-01,00:00-03:00,23.1,77.2,25,60,0,5,0,0
2023-01-02,00:00-03:00,23.150000000000002,77.25,26,62,5,6,1,0
2023-01-03,00:00-03:00,23.200000000000003,77.3,27,64,10,7,0,1
2023-01-04,00:00-03:00,23.25,77.35000000000001,28,66,0,8,0,0
2023-01-05,00:00-03:00,23.3,77.4,29,68,20,9,1,0
2023-01-06,00:00-03:00,23.35,77.45,30,70,15,10,0,1
2023-01-07,00:00-03:00,23.400000000000002,77.5,31,72,0,11,1,0
2023-01-08,00:00-03:00,23.450000000000003,77.55,32,74,0,12,0,0
2023-01-09,00:00-03:00,23.5,77.60000000000001,33,76,25,13,0,0
2023-01-10,00:00-03:00,23.55,77.65,34,78,5,14,1,1
